Ref,Val,Package,PosX,PosY,Rot,Side
"MX1","MX-1U","MXOnly-1U-Hotswap",55.925720,-34.772600,0.000000,top
"MX2","MX-1U","MXOnly-1U-Hotswap",74.975720,-34.772600,0.000000,top
"MX3","MX-1U","MXOnly-1U-Hotswap",94.025720,-34.772600,0.000000,top
"MX4","MX-1U","MXOnly-1U-Hotswap",113.075720,-34.772600,0.000000,top
"MX5","MX-1U","MXOnly-1U-Hotswap",55.925720,-58.585600,0.000000,top
"MX6","MX-1U","MXOnly-1U-Hotswap",74.975720,-58.585600,0.000000,top
"MX7","MX-1U","MXOnly-1U-Hotswap",94.025720,-58.585600,0.000000,top
"MX8","MX-1U","MXOnly-1U-Hotswap",113.075720,-58.585600,0.000000,top
"MX9","MX-1U","MXOnly-1U-Hotswap",55.925720,-77.635600,0.000000,top
"MX10","MX-1U","MXOnly-1U-Hotswap",74.975720,-77.635600,0.000000,top
"MX11","MX-1U","MXOnly-1U-Hotswap",94.025720,-77.635600,0.000000,top
"MX12","MX-1U","MXOnly-1U-Hotswap",113.075720,-77.635600,0.000000,top
"MX13","MX-1U","MXOnly-1U-Hotswap",55.925720,-96.685600,0.000000,top
"MX14","MX-1U","MXOnly-1U-Hotswap",74.975720,-96.685600,0.000000,top
"MX15","MX-1U","MXOnly-1U-Hotswap",94.025720,-96.685600,0.000000,top
"MX16","MX-1U","MXOnly-1U-Hotswap",113.075720,-96.685600,0.000000,top
"MX17","MX-1U","MXOnly-1U-Hotswap",55.925720,-115.735600,0.000000,top
"MX18","MX-1U","MXOnly-1U-Hotswap",74.975720,-115.735600,0.000000,top
"MX19","MX-1U","MXOnly-1U-Hotswap",94.025720,-115.735600,0.000000,top
"MX20","MX-2U","MXOnly-2U-Hotswap-ReversedStabilizers",113.075720,-125.260600,90.000000,top
"MX21","MX-1U","MXOnly-1U-Hotswap",55.925720,-134.785600,0.000000,top
"MX22","MX-1U","MXOnly-1U-Hotswap",74.975720,-134.785600,0.000000,top
"MX23","MX-1U","MXOnly-1U-Hotswap",94.025720,-134.785600,0.000000,top
"MX24","MX-1U","MXOnly-1U-Hotswap",36.875720,-96.685600,0.000000,top
"MX25","MX-1U","MXOnly-1U-Hotswap",36.875720,-115.735600,0.000000,top
"MX26","MX-1U","MXOnly-1U-Hotswap",36.875720,-134.785600,0.000000,top
